Rank,Name,Platform,Year,Genre,Publisher,Developer,Critic_Score,User_Score,NA_Sales,PAL_Sales,JP_Sales,Other_Sales,Global_Sales
447,Assassin's Creed IV: Black Flag,X360,2013,Action-Adventure,Ubisoft  ,Ubisoft Montreal  ,8.5,,1.9,1.14,0.01,0.3,3.34
448,NBA 2K18,PS4,2017,Sports,2K Sports  ,Visual Concepts  ,8.1,,2.13,0.57,0.04,0.59,3.34
449,Rugrats: Search For Reptar,PS,1998,Adventure,THQ  ,n-Space  ,,,1.63,1.53,,0.18,3.34
450,English Training: Have Fun Improving Your Skills!,DS,2006,Misc,Nintendo  ,Plato  ,,,,0.99,2.32,0.02,3.33
451,James Bond 007: Nightfire,PS2,2002,Shooter,Electronic Arts  ,Eurocom Entertainment Software  ,,,1.45,1.29,0.12,0.46,3.33
452,Ratchet & Clank,PS2,2002,Platform,Sony Computer Entertainment  ,Insomniac Games  ,,,1.44,1.01,0.57,0.3,3.33
453,The Legend of Zelda: Spirit Tracks,DS,2009,Adventure,Nintendo  ,Nintendo EAD  ,8.7,,1.4,0.92,0.74,0.26,3.32
454,Star Wars Episode III: Revenge of the Sith,PS2,2005,Action,LucasArts  ,The Collective  ,,,1.47,1.39,0.03,0.43,3.32
455,Resident Evil VII: Biohazard,PS4,2017,Action,Capcom  ,Capcom  ,8.6,,0.88,1.56,0.41,0.46,3.31
456,Max Payne,PS2,2001,Shooter,Rockstar Games  ,Remedy Entertainment  ,8.1,,1.99,1.05,0.05,0.22,3.31
457,Madden NFL 16,PS4,2015,Sports,EA Sports  ,EA Tiburon  ,8.2,,2.39,0.31,,0.61,3.3
458,The Lord of the Rings: The Return of the King,PS2,2003,Action,Electronic Arts  ,"Hypnos Entertainment, Inc.  ",8.4,,1.5,1.28,0.05,0.46,3.28
459,Professor Layton and the Unwound Future,DS,2010,Adventure,Nintendo  ,Level 5  ,8.4,,0.61,1.58,0.82,0.27,3.28
460,Madden NFL 17,PS4,2016,Sports,EA Sports  ,EA Tiburon  ,8.5,,2.3,0.37,,0.6,3.28
461,True Crime: Streets of LA,PS2,2003,Action,Activision  ,Luxoflux  ,,,1.89,1.05,0.02,0.31,3.27
462,Gran Turismo (PSP),PSP,2009,Racing,Sony Computer Entertainment  ,Polyphony Digital  ,,,0.51,1.59,0.31,0.86,3.27
463,Far Cry 3,PS3,2012,Shooter,Ubisoft  ,Ubisoft Montreal  ,,,0.88,1.79,0.1,0.5,3.27
464,FIFA 16,XOne,2015,Sports,EA Sports  ,EA Canada  ,8.5,,0.92,2.1,,0.24,3.25
465,Wii Music,Wii,2008,Music,Nintendo  ,Nintendo EAD  ,5.6,,1.35,1.12,0.46,0.32,3.25
466,Tekken,PS,1995,Fighting,Namco  ,Namco  ,8.3,,0.95,1.3,0.77,0.22,3.24
467,Super Mario Maker,3DS,2016,Platform,Nintendo  ,Nintendo  ,7.3,,0.78,1.04,1.25,0.16,3.23
468,007: Tomorrow Never Dies,PS,1999,Shooter,Electronic Arts  ,Black Ops Entertainment  ,6.2,,1.72,1.33,,0.16,3.21
469,L.A. Noire,PS3,2011,Adventure,Rockstar Games  ,Team Bondi  ,9.1,,1.29,1.31,0.12,0.49,3.21
470,Baseball,NES,1985,Sports,Nintendo  ,Nintendo  ,,,0.73,0.1,2.35,0.02,3.2
471,Killer Instinct,SNES,1995,Fighting,Nintendo  ,Rare Ltd.  ,,,2.26,0.72,0.12,0.1,3.2
472,WWF SmackDown! 2: Know Your Role,PS,2000,Fighting,THQ  ,Yuke's  ,8.7,,1.76,1.21,0.07,0.16,3.2
473,Mario Party 9,Wii,2012,Party,Nintendo  ,"Nd Cube Co., Ltd.  ",6.5,,1.06,1.15,0.77,0.22,3.2
474,Crisis Core: Final Fantasy VII,PSP,2008,Role-Playing,Square Enix  ,Square Enix  ,8.1,9.0,1.35,0.6,0.8,0.44,3.19
475,God of War: Chains of Olympus,PSP,2008,Action,Sony Computer Entertainment  ,Ready at Dawn  ,8.9,9.5,1.48,1.0,0.04,0.66,3.19
476,Dragon Quest VI: Maboroshi no Daichi,SNES,1995,Role-Playing,Enix  ,Heart Beat  ,,,,,3.19,0.0,3.19
477,Middle-Earth: Shadow of Mordor,PS4,2014,Action,Warner Bros. Interactive Entertainment  ,Monolith Productions  ,,,1.03,1.6,0.05,0.51,3.19
478,Assassin's Creed IV: Black Flag,PS4,2013,Action-Adventure,Ubisoft  ,Ubisoft Montreal  ,8.3,,1.07,1.55,0.06,0.51,3.19
479,Dance Central,X360,2010,Music,MTV Games  ,Harmonix Music Systems  ,8.4,,2.15,0.76,0.01,0.26,3.18
480,Enter the Matrix,PS2,2003,Action,Atari  ,Shiny Entertainment  ,,,1.78,1.12,0.09,0.19,3.18
481,Assassin's Creed Odyssey,PS4,2018,Action-Adventure,Ubisoft  ,Ubisoft Quebec  ,9.5,,1.18,1.4,0.09,0.51,3.18
482,Fallout: New Vegas,PS3,2010,Role-Playing,Bethesda Softworks  ,Obsidian Entertainment  ,8.2,,1.54,1.04,0.1,0.49,3.17
483,Ace Combat 04: Shattered Skies,PS2,2001,Simulation,Namco  ,Namco  ,8.9,,2.06,0.56,0.38,0.17,3.17
484,Animal Crossing,GC,2002,Simulation,Nintendo  ,Nintendo EAD  ,8.3,,1.92,0.16,0.99,0.09,3.15
485,Club Penguin: Elite Penguin Force,DS,2008,Adventure,Disney Interactive Studios  ,1st Playable Productions  ,7.0,,1.87,0.97,,0.3,3.14
486,FIFA Soccer 08,PS2,2007,Sports,EA Sports  ,EA Canada  ,,,0.68,0.0,,2.46,3.14
487,FIFA 18,XOne,2017,Sports,EA Sports  ,EA Vancouver  ,8.0,,0.98,1.92,,0.23,3.14
488,Spider-Man,PS,2000,Action,Activision  ,Neversoft Entertainment  ,,,1.7,1.25,0.02,0.16,3.13
489,Sonic Rush,DS,2005,Platform,Sega  ,Dimps Corporation  ,7.8,,1.21,1.56,0.06,0.29,3.13
490,Personal Trainer: Cooking,DS,2008,Misc,Nintendo  ,Nintendo EAD  ,8.4,,0.91,1.01,1.03,0.17,3.13
491,Need for Speed III: Hot Pursuit,PS,1998,Racing,Electronic Arts  ,EA Canada  ,,,2.14,0.86,,0.13,3.12
492,Star Wars Episode I Racer,N64,1999,Racing,LucasArts  ,LucasArts  ,8.7,,2.31,0.62,0.14,0.04,3.12
493,The Elder Scrolls IV: Oblivion,PS3,2007,Role-Playing,Bethesda Softworks  ,4J Studios  ,9.3,,1.69,0.86,0.14,0.44,3.12
494,Dragon Quest IV,NES,1992,Role-Playing,Enix  ,ChunSoft  ,,,0.08,,3.03,0.01,3.12
495,Rhythm Heaven,DS,2009,Music,Nintendo  ,Nintendo SPD Group No.1  ,8.5,,0.55,0.5,1.93,0.14,3.12
496,Resident Evil 6,PS3,2012,Action,Capcom  ,Capcom  ,,,0.88,0.97,0.88,0.39,3.12
497,Tom Clancy's Ghost Recon Wildlands,PS4,2017,Shooter,Ubisoft  ,Ubisoft Paris  ,7.0,,1.07,1.35,0.22,0.47,3.12
498,NBA 2K13,X360,2012,Sports,2K Sports  ,Visual Concepts  ,8.6,,2.62,0.21,0.01,0.28,3.11
499,Titanfall,XOne,2014,Shooter,Electronic Arts  ,Respawn Entertainment  ,,,1.88,0.91,0.04,0.28,3.11
500,Bloodborne,PS4,2015,Role-Playing,Sony Computer Entertainment  ,From Software  ,8.2,,1.3,1.05,0.28,0.48,3.11
501,Mass Effect 2,X360,2010,Role-Playing,Electronic Arts  ,BioWare Edmonton  ,9.5,8.9,1.99,0.81,0.03,0.27,3.1
502,Dragon Ball Z: Budokai,PS2,2002,Fighting,Atari  ,Dimps Corporation  ,,,2.17,0.28,0.55,0.08,3.09
503,Madden NFL 2002,PS2,2001,Sports,EA Sports  ,EA Sports  ,,,2.5,0.16,0.01,0.42,3.08
504,World Class Track Meet,NES,1987,Sports,Bandai  ,Bandai  ,,,1.92,0.45,0.64,0.07,3.08
505,LEGO Batman: The Videogame,Wii,2008,Adventure,Warner Bros. Interactive  ,Traveller's Tales  ,7.3,,1.8,0.98,,0.29,3.08
506,Saints Row 2,X360,2008,Action,THQ  ,Volition Inc.  ,7.9,,1.98,0.79,0.02,0.28,3.07
507,Donkey Kong,GB,1994,Platform,Nintendo  ,Nintendo EAD  ,,,1.57,0.62,0.55,0.34,3.07
508,The Sims: Vacation,PC,2002,Simulation,Electronic Arts  ,Maxis  ,,,1.72,1.21,,0.14,3.07
509,Call of Duty: Ghosts,XOne,2013,Shooter,Activision  ,Infinity Ward  ,7.5,,1.92,0.86,,0.28,3.07
510,Heavy Rain,PS3,2010,Adventure,Sony Computer Entertainment  ,Quantic Dream  ,8.8,8.6,1.29,1.24,0.06,0.48,3.06
511,LEGO Batman: The Videogame,DS,2008,Adventure,Warner Bros. Interactive  ,Traveller's Tales  ,7.8,,1.75,1.02,,0.29,3.06
512,Borderlands 2,X360,2013,Shooter,2K Games  ,Gearbox Software  ,,,1.89,0.88,0.04,0.26,3.06
513,Kung Fu Panda,X360,2008,Platform,Activision  ,Luxoflux  ,7.5,,1.91,0.84,,0.29,3.05
514,Mass Effect 3,X360,2012,Role-Playing,Electronic Arts  ,BioWare  ,9.5,,1.94,0.84,0.03,0.24,3.04
515,Metal Gear Solid V: The Phantom Pain,PS4,2015,Action,Konami Digital Entertainment  ,Kojima Productions  ,,,0.97,1.15,0.5,0.42,3.04
516,Rayman,PS,1995,Platform,Ubisoft  ,Ubisoft Montpellier  ,7.0,,1.54,1.33,,0.16,3.03
517,Tom Clancy's Splinter Cell,XB,2002,Action,Ubisoft  ,Ubisoft  ,9.3,9.1,1.85,1.04,,0.13,3.02
518,Killzone: Shadow Fall,PS4,2013,Shooter,Sony Computer Entertainment  ,Guerrilla Games  ,9.0,,0.89,1.58,0.08,0.47,3.02
519,Mike Tyson's Punch-Out!!,NES,1987,Fighting,Nintendo  ,Nintendo IRD  ,,,2.03,0.47,0.45,0.07,3.02
520,WWE SmackDown! Shut Your Mouth,PS2,2002,Sports,THQ  ,Yuke's Future Media Creators  ,,,1.45,1.13,0.07,0.38,3.02
521,Disney Epic Mickey,Wii,2010,Platform,Disney Interactive Studios  ,Junction Point Studios  ,7.0,,2.04,0.63,0.12,0.23,3.02
522,Killzone 2,PS3,2009,Shooter,Sony Computer Entertainment  ,Guerrilla Games  ,9.1,9.3,1.4,1.07,0.08,0.46,3.02
523,inFAMOUS: Second Son,PS4,2014,Action-Adventure,Sony Computer Entertainment  ,Sucker Punch  ,,,1.35,1.09,0.07,0.5,3.01
524,Dragon Ball Z: Budokai Tenkaichi 3,PS2,2007,Fighting,Atari  ,Spike / Bandai Namco Games  ,,,1.15,0.0,0.76,1.09,3.0
525,WWE SmackDown! vs. Raw 2006,PS2,2005,Fighting,THQ  ,Yuke's  ,8.4,,1.57,1.02,,0.41,3.0
526,Star Fox,SNES,1993,Shooter,Nintendo  ,Argonaut Games  ,,,1.61,0.51,0.8,0.07,2.99
527,The Sims: Livin Large,PC,2000,Misc,Electronic Arts  ,Maxis  ,,,1.67,1.18,,0.13,2.99
528,inFAMOUS,PS3,2009,Action,Sony Computer Entertainment  ,Sucker Punch Productions  ,8.7,9.1,1.76,0.68,0.12,0.42,2.99
529,World Soccer Winning Eleven 6 International,PS2,2003,Sports,Konami  ,Konami Computer Entertainment Tokyo  ,,,0.12,1.26,1.16,0.45,2.99
530,Devil May Cry,PS2,2001,Action,Capcom  ,Capcom  ,9.1,9.3,1.36,0.86,0.64,0.13,2.99
531,Far Cry 3,X360,2012,Shooter,Ubisoft  ,Ubisoft Montreal  ,,,1.38,1.33,0.02,0.25,2.98
532,Star Wars: The Old Republic,PC,2011,Role-Playing,Electronic Arts  ,BioWare / LucasArts  ,8.4,,1.59,1.01,,0.37,2.97
533,Sonic Heroes,PS2,2004,Platform,Sega  ,Sonic Team  ,6.6,,1.04,1.37,0.06,0.49,2.96
534,Battlefield: Bad Company 2,PS3,2010,Shooter,Electronic Arts  ,EA Digital Illusions CE  ,8.9,8.8,1.33,1.11,0.08,0.44,2.96
535,Hitman 2: Silent Assassin,PS2,2002,Action,Eidos Interactive  ,IO Interactive  ,,,1.36,1.15,0.04,0.41,2.96
536,Street Fighter IV,X360,2009,Fighting,Capcom  ,Capcom / Dimps Corporation  ,9.3,9.3,1.83,0.7,0.15,0.26,2.95
537,Wave Race 64,N64,1996,Racing,Nintendo  ,Nintendo EAD  ,9.2,,1.98,0.58,0.34,0.04,2.94
538,SOCOM II: U.S. Navy SEALs,PS2,2003,Shooter,Sony Computer Entertainment  ,Zipper Interactive  ,,,2.22,0.51,0.06,0.15,2.94
539,WWE SmackDown! vs. RAW 2006,PS2,2005,Fighting,THQ  ,Yuke's  ,,,1.45,1.11,0.04,0.33,2.94
540,Pac-Man Collection,GBA,2001,Puzzle,Namco  ,Mass Media  ,,,2.07,0.77,0.05,0.05,2.94
541,Gran Turismo,PSP,2009,Racing,Sony Computer Entertainment  ,Polyphony Digital  ,7.7,9.5,0.43,1.4,0.31,0.78,2.93
542,Madden NFL 13,X360,2012,Sports,EA Sports  ,EA Tiburon  ,8.0,,2.53,0.16,,0.24,2.93
543,Kirby Super Star Ultra,DS,2008,Platform,Nintendo  ,HAL Laboratory  ,7.3,,1.55,0.04,1.19,0.15,2.92
544,Yoshi,GB,1992,Puzzle,Nintendo  ,Game Freak  ,,,1.57,0.62,0.73,,2.92
545,Doom (2016),PS4,2016,Shooter,Bethesda Softworks  ,id Software  ,,,0.93,1.48,0.04,0.46,2.92
546,Mass Effect,X360,2007,Role-Playing,Microsoft Game Studios  ,BioWare Edmonton  ,9.2,9.1,1.83,0.79,0.03,0.27,2.91
547,FIFA 15,X360,2014,Sports,EA Sports  ,EA Canada  ,6.9,,0.8,1.9,,0.21,2.91
548,Yoshi's Island: Super Mario Advance 3,GBA,2002,Platform,Nintendo  ,Nintendo EAD  ,,,1.75,0.45,0.62,0.09,2.91
549,Sonic Mega Collection Plus,PS2,2004,Misc,Sega  ,Sonic Team  ,,,1.54,1.14,,0.22,2.9
550,Mortal Kombat (2011),PS3,2011,Fighting,Warner Bros. Interactive Entertainment  ,NetherRealm Studios  ,8.5,,1.98,0.54,,0.38,2.9
551,World Soccer Winning Eleven 7 International,PS2,2004,Sports,Konami  ,Konami Computer Entertainment Tokyo  ,9.2,,0.08,1.24,1.13,0.45,2.9
552,Sega Superstars Tennis,X360,2008,Sports,Sega  ,Sumo Digital  ,6.9,,1.75,0.86,,0.28,2.89
553,Cooking Mama: Cook Off,Wii,2007,Simulation,Majesco  ,Office Create  ,5.9,,1.41,1.12,0.05,0.3,2.89
554,Hot Shots Golf 3,PS2,2002,Sports,Sony Computer Entertainment  ,Clap Hanz  ,,,0.99,0.32,1.38,0.2,2.89
555,WarioWare: Smooth Moves,Wii,2007,Puzzle,Nintendo  ,Intelligent Systems  ,8.2,,0.86,1.05,0.73,0.26,2.89
556,Call of Duty: Finest Hour,PS2,2004,Shooter,Activision  ,Spark Unlimited  ,,,1.51,1.12,0.01,0.24,2.89
557,Syphon Filter,PS,1999,Shooter,989 Studios  ,Eidetic  ,9.2,,2.03,0.72,0.02,0.11,2.88
558,Imagine: Babyz,DS,2007,Simulation,Ubisoft  ,Visual Impact  ,3.5,,1.3,1.26,,0.31,2.87
559,Mafia III,PS4,2016,Action-Adventure,2K Games  ,Hangar 13  ,6.9,,0.72,1.67,0.04,0.44,2.87
560,Colin McRae Rally,PS,2000,Racing,Sony Computer Entertainment  ,Codemasters  ,7.9,,0.09,2.43,0.12,0.22,2.87
561,The Elder Scrolls III: Morrowind,XB,2002,Role-Playing,Bethesda Softworks  ,Bethesda Softworks  ,8.2,,2.09,0.63,0.03,0.11,2.86
562,Assassin's Creed: Brotherhood,PS3,2010,Action,Ubisoft  ,Ubisoft Montreal  ,9.1,,1.87,0.57,0.11,0.3,2.85
563,Command & Conquer: Red Alert,PC,1996,Strategy,Virgin Interactive  ,Westwood Studios  ,9.3,,1.37,1.34,,0.14,2.85
564,F-Zero,SNES,1991,Racing,Nintendo  ,Nintendo EAD  ,,,1.37,0.51,0.89,0.07,2.85
565,Yoshi's Story,N64,1998,Platform,Nintendo  ,Nintendo EAD  ,,,1.29,0.53,0.98,0.05,2.85
566,Zumba Fitness 2,Wii,2011,Sports,Majesco  ,"Pipeworks Software, Inc.  ",,,1.52,1.05,,0.26,2.83
567,Madden NFL 10,X360,2009,Sports,EA Sports  ,EA Tiburon  ,8.6,,2.52,0.09,,0.22,2.83
568,BioShock,X360,2007,Shooter,2K Games  ,2K Australia / 2K Boston  ,9.6,9.5,1.65,0.85,0.05,0.28,2.83
569,WWE SmackDown! vs. Raw,PS2,2004,Fighting,THQ  ,Yuke's  ,,,1.32,1.08,0.04,0.39,2.83
570,Metroid Prime,GC,2002,Shooter,Nintendo  ,Retro Studios  ,9.6,9.5,1.96,0.67,0.1,0.09,2.82
571,Finding Nemo,GBA,2003,Platform,THQ  ,Vicarious Visions  ,7.0,,1.59,1.05,0.04,0.14,2.82
572,Medal of Honor,PS3,2010,Shooter,Electronic Arts  ,EA Los Angeles  ,6.7,,1.28,1.04,0.07,0.43,2.82
573,Diablo III: Ultimate Evil Edition,PS4,2014,Role-Playing,Blizzard Entertainment  ,Blizzard Entertainment  ,,,0.83,1.48,0.08,0.44,2.82
574,Gran Turismo (PSP),PSN,2009,Racing,Sony Computer Entertainment  ,Polyphony Digital  ,7.8,,0.43,0.91,0.31,1.16,2.82
575,Monster Hunter 3G,3DS,2013,Role-Playing,Capcom  ,Capcom  ,7.6,,0.46,0.32,1.96,0.08,2.82
576,Myst,PC,1995,Adventure,Broderbund  ,Cyan Worlds  ,8.9,,0.02,2.79,,,2.81
577,Need for Speed: Hot Pursuit,PS3,2010,Racing,Electronic Arts  ,Criterion Games  ,8.9,,1.05,1.24,0.03,0.49,2.81
578,Imagine: Fashion Designer,DS,2007,Simulation,Ubisoft  ,Virtual Toys / Lexis Numerique  ,3.0,,1.32,1.19,,0.3,2.81
579,Killzone 3,PS3,2011,Shooter,Sony Computer Entertainment  ,Guerrilla Games  ,8.2,,1.46,0.87,0.09,0.38,2.81
580,WWE SmackDown! Here Comes the Pain,PS2,2003,Fighting,THQ  ,Yuke's  ,,,1.32,1.06,0.04,0.38,2.8
581,Hot Shots Golf,PS,1998,Sports,Sony Computer Entertainment  ,Camelot Software Planning  ,,,0.29,0.2,2.13,0.18,2.79
582,Skylanders: Spyro's Adventure,Wii,2011,Action,Activision  ,Toys for Bob  ,8.0,,1.35,1.15,,0.3,2.79
583,A Bug's Life,PS,1998,Platform,Sony Computer Entertainment  ,Traveller's Tales  ,3.6,,1.96,0.72,,0.11,2.79
584,WWF SmackDown! Just Bring It,PS2,2001,Fighting,THQ  ,Yuke's  ,,,1.19,1.15,0.04,0.41,2.79
585,Dragon Quest V: Tenkuu no Hanayome,SNES,1992,Role-Playing,Enix  ,ChunSoft  ,,,,,2.78,0.01,2.79
586,Mortal Kombat Trilogy,PS,1996,Fighting,Midway Games  ,Avalanche Software  ,,,1.98,0.7,,0.11,2.79
587,NBA Street,PS2,2001,Sports,EA Sports BIG   ,NuFX  ,,,2.19,0.22,,0.38,2.79
588,Jak II,PS2,2003,Platform,Sony Computer Entertainment  ,Naughty Dog  ,,,1.68,0.74,,0.36,2.78
589,Ratchet & Clank: Going Commando,PS2,2003,Platform,Sony Computer Entertainment  ,Insomniac Games  ,8.7,,1.44,0.83,0.26,0.25,2.78
590,The Sims,PS2,2003,Simulation,Electronic Arts  ,Edge of Reality  ,,,1.41,1.12,,0.24,2.77
591,Star Wars: The Force Unleashed,X360,2008,Action,LucasArts  ,LucasArts  ,7.1,,1.74,0.78,,0.26,2.77
592,Saints Row: The Third,X360,2011,Action,THQ  ,Volition Inc.  ,8.3,,1.26,1.14,0.07,0.3,2.77
593,Yoshi's Island DS,DS,2006,Platform,Nintendo  ,Artoon  ,8.2,,1.45,0.07,1.1,0.15,2.77
594,Tekken 6,PS3,2009,Fighting,Namco Bandai  ,Namco Bandai Games  ,7.9,,1.2,0.97,0.17,0.42,2.77
595,Missile Command,2600,1981,Shooter,Atari  ,Atari  ,,,2.56,0.17,,0.03,2.76
596,Battlefield 3,PC,2011,Shooter,Electronic Arts  ,Dice  ,8.9,,0.89,1.44,,0.43,2.76
597,Mario Paint,SNES,1992,Misc,Nintendo  ,Intelligent Systems  ,,,1.43,0.54,0.71,0.07,2.75
598,Sonic and the Secret Rings,Wii,2007,Platform,Sega  ,Sonic Team  ,6.7,,1.23,1.19,0.04,0.3,2.75
599,Need for Speed: Most Wanted (2012),PS3,2012,Racing,Electronic Arts  ,Criterion Games  ,8.5,,0.71,1.52,0.06,0.45,2.74
600,Pokémon Stadium 2,N64,2001,Strategy,Nintendo  ,HAL Laboratory  ,7.9,,1.02,0.36,1.13,0.23,2.73
601,L.A. Noire,X360,2011,Adventure,Rockstar Games  ,Team Bondi  ,9.1,,1.55,0.92,0.02,0.24,2.73
602,Metroid,NES,1987,Adventure,Nintendo  ,Nintendo R&D1  ,,,1.33,0.31,1.04,0.05,2.73
603,Far Cry: Primal,PS4,2016,Action-Adventure,Ubisoft  ,Ubisoft Montreal  ,7.2,,0.63,1.61,0.07,0.41,2.73
604,Overwatch,XOne,2016,Shooter,Blizzard Entertainment  ,Blizzard Entertainment  ,8.7,,1.63,0.84,,0.25,2.72
605,Need for Speed (2015),PS4,2015,Racing,Electronic Arts  ,Ghost Games  ,7.0,,0.59,1.66,0.06,0.41,2.72
606,Madden NFL 13,PS3,2012,Sports,EA Sports  ,EA Tiburon  ,8.3,,2.12,0.24,,0.36,2.71
607,Skate 3,X360,2010,Sports,EA Sports  ,EA Black Box  ,8.3,,1.47,0.99,,0.25,2.71
608,Tom Clancy's Rainbow Six: Siege,XOne,2015,Shooter,Ubisoft  ,Ubisoft Montreal  ,,,1.62,0.84,,0.25,2.71
609,The Legend of Zelda: A Link to the Past,GBA,2002,Adventure,Nintendo  ,"Flagship Co., Ltd. / Nintendo EAD  ",9.6,,1.75,0.52,0.33,0.1,2.7
610,Onimusha: Warlords,PS2,2001,Action,Capcom  ,Flagship  ,8.7,7.3,0.99,0.48,1.09,0.14,2.7
611,Madden NFL 12,X360,2011,Sports,EA Sports  ,EA Tiburon  ,7.8,,2.43,0.11,,0.16,2.7
612,Mario Party,N64,1999,Misc,Nintendo  ,Hudson Soft  ,7.6,,1.25,0.53,0.87,0.05,2.7
613,Call of Duty 3,X360,2006,Shooter,Activision  ,Treyarch  ,8.0,8.4,1.49,0.92,0.02,0.27,2.7
614,LEGO Star Wars II: The Original Trilogy,PS2,2006,Action,LucasArts  ,Traveller's Tales  ,8.4,,1.85,0.64,0.01,0.19,2.69
615,Madden NFL 11,X360,2010,Sports,EA Sports  ,EA Tiburon  ,8.3,,2.38,0.12,,0.19,2.69
616,Burnout 3: Takedown,PS2,2004,Racing,Electronic Arts  ,Criterion Games  ,9.3,,1.23,1.11,,0.34,2.68
617,Professor Layton and the Last Specter,DS,2011,Adventure,Nintendo  ,Level 5  ,8.4,,0.28,1.41,0.68,0.32,2.68
618,Mario vs. Donkey Kong: Mini-Land Mayhem!,DS,2010,Puzzle,Nintendo  ,Nintendo Software Technology Corporation  ,7.8,,1.63,0.51,0.35,0.18,2.68
619,Mortal Kombat,GEN,1993,Fighting,Arena Entertainment  ,Probe Entertainment Limited  ,,,1.95,0.63,,0.09,2.67
620,Halo Wars,X360,2009,Strategy,Microsoft Game Studios  ,Ensemble Studios  ,8.1,8.5,1.58,0.8,0.04,0.25,2.67
621,Call of Duty 2: Big Red One,PS2,2005,Shooter,Activision  ,Treyarch  ,8.5,,1.48,0.92,0.01,0.26,2.67
622,Medal of Honor,PS,1999,Shooter,Electronic Arts  ,DreamWorks Interactive  ,9.3,,1.44,1.09,,0.14,2.67
623,Fable,XB,2004,Role-Playing,Microsoft Game Studios  ,Big Blue Box  ,8.6,,1.99,0.58,,0.09,2.66
624,Guitar Hero: World Tour,X360,2008,Misc,Activision  ,Neversoft Entertainment  ,8.6,,1.78,0.64,,0.25,2.66
625,WWE SmackDown! Shut Your Mouth,PS2,2002,Fighting,THQ  ,Yuke's  ,,,1.32,1.29,0.04,,2.66
626,Final Fantasy XIII-2,PS3,2012,Role-Playing,Square Enix  ,Square Enix  ,8.3,,0.78,0.75,0.89,0.23,2.66
627,Medal of Honor Heroes,PSP,2006,Shooter,Electronic Arts  ,Team Fusion  ,6.7,,0.86,1.11,0.01,0.67,2.66
628,Hannah Montana,DS,2006,Action,Buena Vista  ,DC Studios  ,6.5,,1.59,0.8,,0.26,2.65
629,Need for Speed: Shift,PS3,2009,Racing,Electronic Arts  ,Slightly Mad Studios  ,8.2,,0.69,1.4,0.04,0.52,2.65
630,Tom Clancy's Splinter Cell,PS2,2003,Action,Ubisoft  ,Ubisoft  ,,,1.15,1.11,,0.4,2.65
631,Super Mario Bros. 2 (FDS),NES,1986,Platform,Nintendo  ,Nintendo EAD  ,,,,,2.65,0.0,2.65
632,Star Wars: Shadows of the Empire,N64,1996,Action,Nintendo  ,LucasArts  ,,,2.0,0.5,0.12,0.03,2.65
633,Medal of Honor,X360,2010,Shooter,Electronic Arts  ,EA Los Angeles  ,7.3,,1.58,0.8,0.04,0.22,2.64
634,NBA 2K12,X360,2011,Sports,2K Sports  ,Visual Concepts  ,9.1,,2.32,0.14,0.01,0.17,2.64
635,Midnight Club: Street Racing,PS2,2000,Racing,Rockstar Games  ,Angel Studios  ,,,2.0,0.47,0.02,0.14,2.63
636,NBA 2K13,PS3,2012,Sports,2K Sports  ,Visual Concepts  ,8.9,,1.74,0.46,0.05,0.39,2.63
637,NBA 2K19,PS4,2018,Sports,2K Sports  ,Visual Concepts  ,,,1.69,0.44,0.03,0.47,2.63
638,ESPN NFL 2K5,PS2,2004,Sports,Sega  ,Visual Concepts  ,,,2.15,0.12,,0.36,2.62
639,Tekken: Dark Resurrection,PSP,2006,Fighting,Namco Bandai  ,8ing/Raizing  ,8.7,,0.76,1.1,0.12,0.65,2.62
640,Madden NFL 18,PS4,2017,Sports,EA Sports  ,EA Tiburon  ,8.2,,1.73,0.42,,0.47,2.62
641,FIFA Soccer 10,X360,2009,Sports,EA Sports  ,EA Canada  ,8.9,,0.6,1.79,0.01,0.23,2.62
642,Super Mario All-Stars: Limited Edition,Wii,2010,Platform,Nintendo  ,Nintendo EAD  ,7.2,,1.04,0.52,0.92,0.14,2.62
643,LittleBigPlanet,PSP,2009,Platform,Sony Computer Entertainment  ,SCEE Cambridge  ,8.8,,0.65,1.27,0.01,0.68,2.61
644,Harry Potter and the Chamber of Secrets,PS2,2002,Adventure,Electronic Arts  ,Eurocom Entertainment Software  ,,,0.9,1.22,0.04,0.44,2.61
645,God of War Collection,PS3,2009,Action,Sony Computer Entertainment  ,Bluepoint Games  ,9.2,,1.7,0.45,0.06,0.4,2.6
646,Streets of Rage,GEN,1990,Action,Sega  ,Sega  ,,,1.86,0.55,0.11,0.08,2.6
647,Grand Theft Auto: Episodes from Liberty City,X360,2009,Adventure,Rockstar Games  ,Rockstar North  ,9.0,,1.08,1.22,0.03,0.27,2.6
648,LEGO Star Wars: The Complete Saga,X360,2007,Action,LucasArts  ,Traveller's Tales  ,,,1.53,0.83,,0.24,2.59
649,Mario + Rabbids: Kingdom Battle,NS,2017,Strategy,Ubisoft  ,Ubisoft Milan  ,8.3,,1.1,1.08,0.22,0.2,2.59
650,Tom Clancy's The Division,XOne,2016,Shooter,Ubisoft  ,Massive Entertainment  ,,,1.54,0.82,,0.24,2.59
651,FIFA Soccer 09,PS3,2008,Sports,Electronic Arts  ,EA Canada  ,8.6,,0.49,1.63,0.04,0.43,2.59
